Date,Open,High,Low,Vol.,Change %,Price
6/14/2023,1957.20,1973.90,1952.50,199.71K,0.53%,1968.9
6/13/2023,1971.40,1985.90,1953.00,198.40K,-0.56%,1958.6
6/12/2023,1975.60,1981.40,1963.10,122.54K,-0.38%,1969.7
6/9/2023,1980.50,1987.80,1971.00,130.41K,-0.07%,1977.2
6/8/2023,1956.20,1985.70,1955.20,191.84K,1.03%,1978.6
6/7/2023,1980.00,1986.50,1955.40,189.53K,-1.17%,1958.4
6/6/2023,1978.00,1982.90,1970.30,136.00K,0.36%,1981.5
6/5/2023,1962.30,1980.40,1953.80,179.99K,0.24%,1974.3
6/2/2023,1994.60,2000.50,1963.70,209.69K,-1.30%,1969.6
6/1/2023,1981.30,2000.70,1970.10,176.91K,0.68%,1995.5
5/31/2023,1977.50,1993.10,1971.80,207.75K,0.25%,1982.1
5/30/2023,1961.30,1981.90,1949.60,264.37K,0.89%,1977.1
5/29/2023,1961.45,1968.15,1958.10,,-0.09%,1959.75
5/28/2023,1964.55,1964.55,1960.05,,-0.08%,1961.5
5/26/2023,1961.80,1975.70,1954.70,130.07K,1.03%,1963.1
5/25/2023,1959.50,1965.40,1939.00,0.00K,-1.00%,1943.1
5/24/2023,1975.40,1975.40,1969.20,0.19K,-0.49%,1962.8
5/23/2023,1973.90,1980.00,1955.80,0.00K,-0.12%,1972.4
5/22/2023,1980.50,1980.50,1980.50,0.01K,-0.20%,1974.8
5/19/2023,1960.00,1976.70,1960.00,0.11K,1.13%,1978.7
5/18/2023,1956.80,1956.80,1956.80,0.02K,-1.22%,1956.5
5/17/2023,1983.60,1983.60,1983.60,0.01K,-0.39%,1980.7
5/16/2023,2021.30,2022.70,1989.10,0.05K,-1.47%,1988.4
5/15/2023,2013.80,2017.10,2013.80,0.00K,-0.09%,2018
5/12/2023,2020.50,2027.80,2005.70,220.50K,-0.03%,2019.8
5/11/2023,2036.80,2047.60,2016.70,296.98K,-0.81%,2020.5
5/10/2023,2041.60,2056.00,2028.30,260.81K,-0.28%,2037.1
5/9/2023,2028.40,2045.10,2026.40,199.70K,0.48%,2042.9
5/8/2023,2024.60,2037.10,2022.00,182.21K,0.41%,2033.2
5/5/2023,2058.00,2061.30,2007.00,283.30K,-1.50%,2024.8
5/4/2023,2054.70,2085.40,2038.50,311.00K,0.92%,2055.7
5/3/2023,2026.40,2050.00,2016.00,229.67K,0.68%,2037
5/2/2023,1990.50,2028.80,1986.90,245.64K,1.56%,2023.3
5/1/2023,2000.20,2015.40,1985.70,173.02K,-0.35%,1992.2
4/28/2023,1997.20,2004.10,1984.40,172.45K,0.01%,1999.1
4/27/2023,1999.80,2013.30,1982.00,203.90K,0.61%,1999
4/26/2023,2000.00,2009.80,1986.60,0.62K,-0.41%,1986.9
4/25/2023,1995.40,2005.00,1979.30,0.85K,0.23%,1995.1
4/24/2023,1983.20,1991.00,1975.30,0.54K,0.47%,1990.6
4/21/2023,2005.10,2007.00,1973.00,0.62K,-1.42%,1981.3
4/20/2023,1996.50,2014.50,1994.20,0.42K,0.59%,2009.8
4/19/2023,2008.50,2009.70,1971.90,0.92K,-0.61%,1998
4/18/2023,1997.10,2013.40,1994.50,0.22K,0.81%,2010.3
4/17/2023,2002.70,2007.60,1983.20,0.55K,-0.40%,1994.2
4/14/2023,2041.00,2047.80,1995.00,0.72K,-1.92%,2002.2
4/13/2023,2015.60,2048.60,2015.60,1.04K,1.51%,2041.3
4/12/2023,2005.20,2025.70,2005.20,0.17K,0.30%,2010.9
4/11/2023,1991.40,2006.50,1991.40,0.07K,0.79%,2004.8
4/10/2023,2000.00,2006.60,1984.00,0.65K,-1.13%,1989.1
4/6/2023,2022.20,2023.30,2005.00,0.49K,-0.45%,2011.9
4/5/2023,2022.10,2033.80,2013.60,0.53K,-0.06%,2020.9
4/4/2023,1984.60,2027.10,1979.00,0.81K,1.93%,2022.2
4/3/2023,1968.10,1991.70,1950.00,0.74K,0.76%,1983.9
3/31/2023,1981.30,1986.80,1968.00,0.96K,-0.57%,1969
3/30/2023,1965.90,1984.40,1954.90,10.12K,0.68%,1980.3
3/29/2023,1975.40,1976.00,1959.50,88.56K,-0.33%,1966.9
3/28/2023,1957.80,1977.10,1949.90,183.58K,0.10%,1973.5
3/27/2023,2000.30,2001.50,1962.70,107.04K,-1.51%,1971.5
3/24/2023,2013.30,2023.90,1995.70,118.69K,-0.58%,2001.7
3/23/2023,1992.50,2023.30,1984.40,74.55K,2.37%,2013.3
3/22/2023,1959.70,1999.40,1953.70,60.53K,0.42%,1966.6
3/21/2023,2000.70,2005.70,1955.90,65.17K,-2.07%,1958.3
3/20/2023,2008.60,2031.70,1987.00,69.06K,0.48%,1999.7
3/17/2023,1942.70,2010.40,1939.10,67.46K,2.60%,1990.2
3/16/2023,1940.20,1954.60,1928.40,34.77K,-0.43%,1939.7
3/15/2023,1924.50,1959.10,1906.00,84.73K,1.95%,1948.1
3/14/2023,1919.40,1919.40,1899.80,261.28K,-0.29%,1910.9
3/13/2023,1877.10,1919.50,1875.70,452.33K,2.64%,1916.5
3/10/2023,1835.10,1874.30,1830.00,345.81K,1.78%,1867.2
3/9/2023,1818.00,1839.40,1815.40,228.47K,0.88%,1834.6
